Date  ,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
4/13/2013,19:40:00,83.36,30.81,26.402,13.722200,1023.27,52,0.00,0.00,202
4/13/2013,19:50:00,86.39,30.81,27.362,13.611100,1023.30,51,0.00,0.00,202
4/13/2013,20:00:00,81.50,30.75,25.730,13.555600,1023.30,52,0.00,0.00,202
4/13/2013,20:10:00,86.09,30.89,27.384,13.222200,1023.34,56,0.00,0.00,-1
4/13/2013,20:20:00,86.40,30.87,27.454,12.666700,1023.40,61,0.00,0.00,202
4/13/2013,20:30:00,88.46,30.90,28.154,11.722200,1023.51,66,0.00,1.61,202
4/13/2013,20:40:00,87.36,30.64,27.418,10.833300,1023.74,68,0.00,0.00,202
4/13/2013,20:50:00,86.31,31.05,27.691,10.166700,1023.84,72,0.00,0.00,202
4/13/2013,21:00:00,82.60,31.00,26.430,9.611110,1024.15,73,0.00,0.00,202
4/13/2013,21:10:00,84.66,31.07,27.191,9.166670,1024.28,74,0.00,0.00,-1
4/13/2013,21:20:00,79.05,31.03,25.335,8.777780,1024.55,75,0.00,0.00,-1
4/13/2013,21:30:00,86.69,31.31,28.204,8.611110,1024.66,77,0.00,0.00,202
4/13/2013,21:40:00,84.15,31.17,27.173,8.388890,1024.76,77,0.00,0.00,202
4/13/2013,21:50:00,80.03,31.06,25.690,8.166670,1024.86,79,0.00,1.61,202
4/13/2013,22:00:00,75.78,31.18,24.483,7.833330,1024.89,79,0.00,0.00,202
4/13/2013,22:10:00,84.56,31.06,27.145,7.611110,1025.03,79,0.00,0.00,202
4/13/2013,22:20:00,81.99,31.11,26.390,7.444450,1025.13,80,0.00,0.00,202
4/13/2013,22:30:00,85.65,31.18,27.672,7.333330,1025.10,81,0.00,1.61,202
4/13/2013,22:40:00,84.72,31.17,27.357,7.222220,1025.20,82,0.00,1.61,202
4/13/2013,22:50:00,80.24,31.12,25.841,7.166670,1025.20,82,0.00,0.00,202
4/13/2013,23:00:00,82.76,31.14,26.681,6.944450,1025.33,83,0.00,0.00,202
4/13/2013,23:10:00,83.28,31.18,26.906,6.833330,1025.33,82,0.00,1.61,202
4/13/2013,23:20:00,85.74,30.97,27.391,6.833330,1025.47,82,0.00,0.00,202
4/13/2013,23:30:00,84.19,30.93,26.838,6.888890,1025.47,81,0.00,0.00,-1
4/13/2013,23:40:00,86.24,30.88,27.418,6.833330,1025.54,81,0.00,0.00,-1
4/13/2013,23:50:00,84.71,31.00,27.105,6.722220,1025.54,80,0.00,0.00,-1
4/14/2013,0:00:00,83.27,31.01,26.659,6.611110,1025.64,81,0.00,0.00,-1
4/14/2013,0:10:00,88.82,30.98,28.390,6.500000,1025.77,82,0.00,0.00,-1
4/14/2013,0:20:00,89.90,31.22,29.107,6.222220,1025.84,83,0.00,0.00,-1
4/14/2013,0:30:00,87.82,31.28,28.526,5.944450,1025.88,83,0.00,0.00,-1
4/14/2013,0:40:00,79.78,31.22,25.831,5.777780,1025.98,83,0.00,0.00,-1
4/14/2013,0:50:00,82.18,31.59,27.140,5.555550,1026.01,84,0.00,0.00,-1
4/14/2013,1:00:00,76.98,31.53,25.341,5.444440,1025.98,85,0.00,0.00,-1
4/14/2013,1:10:00,81.67,31.63,27.029,5.333330,1025.98,85,0.00,0.00,202
4/14/2013,1:20:00,82.33,31.56,27.146,5.277780,1025.98,85,0.00,0.00,-1
4/14/2013,1:30:00,86.38,31.39,28.224,5.166670,1026.04,86,0.00,0.00,-1
4/14/2013,1:40:00,81.76,31.58,26.987,5.166670,1026.04,86,0.00,0.00,-1
4/14/2013,1:50:00,74.58,31.62,24.670,5.166670,1025.94,87,0.00,0.00,-1
4/14/2013,2:00:00,79.34,31.51,26.090,5.222220,1025.98,87,0.00,0.00,-1
4/14/2013,2:10:00,75.80,31.49,24.900,5.444440,1026.04,88,0.00,0.00,-1
4/14/2013,2:20:00,77.29,31.39,25.253,5.666670,1026.28,87,0.00,0.00,202
4/14/2013,2:30:00,86.83,31.15,28.008,6.000000,1026.28,87,0.00,0.00,-1
4/14/2013,2:40:00,85.29,31.19,27.570,6.111110,1026.35,87,0.00,0.00,-1
4/14/2013,2:50:00,89.78,30.96,28.666,6.277780,1026.28,86,0.00,0.00,-1
4/14/2013,3:00:00,82.10,31.23,26.596,6.444440,1026.45,86,0.00,0.00,-1
4/14/2013,3:10:00,78.32,31.39,25.590,6.666670,1026.52,85,0.00,0.00,202
4/14/2013,3:20:00,82.88,31.36,27.037,6.777780,1026.55,84,0.00,0.00,202
4/14/2013,3:30:00,78.18,31.70,25.971,6.833330,1026.55,84,0.00,0.00,202
4/14/2013,3:40:00,81.57,31.67,27.054,7.000000,1026.55,84,0.00,0.00,-1
4/14/2013,3:50:00,85.27,31.70,28.327,7.111110,1026.42,83,0.00,1.61,202
4/14/2013,4:00:00,89.07,31.70,29.589,7.222220,1026.55,82,0.00,1.61,202
4/14/2013,4:10:00,83.31,31.56,27.469,7.611110,1026.48,80,0.00,1.61,202
4/14/2013,4:20:00,77.55,31.52,25.515,8.111110,1026.45,77,0.00,1.61,202
4/14/2013,4:30:00,71.23,31.53,23.449,8.666670,1026.59,74,0.00,0.00,157
4/14/2013,4:40:00,76.10,31.42,24.905,9.000000,1026.55,72,0.00,1.61,157
4/14/2013,4:50:00,82.99,31.45,27.203,9.111110,1026.42,71,0.00,3.22,157
4/14/2013,5:00:00,82.21,31.35,26.804,9.055560,1026.55,72,0.00,0.00,-1
4/14/2013,5:10:00,82.94,31.46,27.201,8.944440,1026.59,73,0.00,1.61,157
4/14/2013,5:20:00,83.51,31.47,27.403,8.833330,1026.62,73,0.00,0.00,-1
4/14/2013,5:30:00,78.38,31.55,25.830,8.833330,1026.59,74,0.00,0.00,157
4/14/2013,5:40:00,81.82,31.58,27.007,8.722220,1026.48,74,0.00,0.00,157
