timestamp,mik innen-a_1,mik innen-a_2,miks boden-_1,miks boden-_2,miks kanal-_1,miks kanal-_2,Date,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
2013-04-13 13:50:00,3404.39768825723,3610.71116796534,2097.36465281124,1778.33359421643,1521.72684204869,1072.789319359,4/13/2013,13:50:00,66.89,28.65,18.844,13.2778,1022.96,57,0,11.27,225
2013-04-13 14:00:00,3328.31603266777,3346.05253748362,2048.56358919302,1937.19208304467,1470.51046676923,1167.74363052349,4/13/2013,14:00:00,60.57,28.84,17.242,13.4444,1022.93,56,0,3.22,180
2013-04-13 14:10:00,3378.82952889996,3436.02719371597,2119.18098498036,1996.70448505038,1495.43240720561,1197.34377059034,4/13/2013,14:10:00,60.51,28.72,17.112,13.4444,1023.03,55,0,9.66,225
2013-04-13 14:20:00,3280.56829825326,3530.84437590317,2041.54891665392,1878.94136672393,1542.4917613572,1133.32426670356,4/13/2013,14:20:00,75.05,28.91,21.446,13.5,1022.93,56,0,6.44,225
2013-04-13 14:30:00,3295.01900222651,3463.82264307898,2036.66874733649,1913.66279976352,1588.30029076764,1115.20510118327,4/13/2013,14:30:00,73,29.24,21.238,13.7222,1022.9,53,0,1.61,247
2013-04-13 14:40:00,3250.94770729893,3445.84602207052,2082.32602948349,1888.24455582139,1642.24522342129,1180.0499432613,4/13/2013,14:40:00,52.8,29.4,15.496,13.0556,1022.9,54,0,4.83,292
2013-04-13 14:50:00,3436.20945782003,3359.58276077614,2128.83996024709,1916.06293397281,1746.07217267666,1071.41872907362,4/13/2013,14:50:00,55.45,29.59,16.442,13,1023,54,0,4.83,270
2013-04-13 15:00:00,3288.63262439828,3520.14000791306,2156.47873152652,1894.07150571191,1659.30558871313,1258.90671257776,4/13/2013,15:00:00,55.04,30.03,16.715,12.8889,1022.9,52,0,3.22,270
2013-04-13 15:10:00,3214.82590980456,3449.67929651348,2022.06034311543,1708.21356185335,1621.49160758493,1089.0606012517,4/13/2013,15:10:00,67.25,30.16,20.567,13.7222,1022.86,52,0,3.22,247
2013-04-13 15:20:00,3330.91335018037,3276.2699113647,2060.46630321332,1890.90388815534,1641.04623035332,1121.31693125958,4/13/2013,15:20:00,69.83,30.11,21.298,14.0556,1022.83,50,0,4.83,270
